Date,Population,Birth Queue,Pregnant Mothers
02/15/16-11,316,146,2
02/15/16-12,316,147,2
02/15/16-13,316,148,2
02/15/16-14,316,149,2
02/15/16-15,316,150,2
02/15/16-16,315,150,2
02/16/16-02,316,150,1
02/16/16-03,316,149,1
02/16/16-05,315,149,1
02/16/16-06,314,150,1
02/16/16-07,314,150,1
02/16/16-08,314,151,1
02/16/16-09,314,151,1
02/16/16-10,314,151,1
02/16/16-20,312,154,2
02/17/16-15,310,154,2
02/17/16-16,310,154,2
02/18/16-02,311,153,1
02/18/16-03,311,153,1
02/18/16-04,311,153,1
02/18/16-05,311,152,1
02/18/16-06,311,152,1
02/18/16-07,310,152,1
02/18/16-08,310,152,1
02/18/16-09,310,152,1
02/18/16-10,310,152,1
02/18/16-11,310,152,1
02/18/16-12,310,152,1
02/18/16-13,310,152,1
02/18/16-14,310,153,1
02/18/16-15,310,153,1
02/18/16-16,309,153,1
02/18/16-19,308,153,2
02/18/16-21,308,153,2
02/18/16-23,307,152,2
02/19/16-00,307,151,2
02/19/16-02,307,151,2
02/19/16-03,307,151,2
02/19/16-03,307,151,2
02/19/16-20,308,152,1
02/19/16-20,308,152,1
02/19/16-21,308,152,2
02/19/16-22,307,152,2
02/19/16-23,306,152,2
02/20/16-00,306,153,2
02/20/16-01,306,152,2
02/20/16-02,306,152,2
02/20/16-03,306,151,3
02/20/16-04,306,152,3
02/20/16-05,306,152,3
02/20/16-06,306,153,3
02/20/16-07,306,154,3
02/20/16-08,306,154,3
02/20/16-09,306,155,3
02/20/16-10,306,155,3
02/20/16-11,306,155,3
02/20/16-12,306,156,3
02/20/16-13,306,157,3
02/20/16-14,306,157,3
02/20/16-15,306,157,3
02/20/16-16,306,158,3
02/20/16-17,306,157,3
02/20/16-18,306,156,3
02/20/16-19,306,156,3
02/20/16-20,306,156,3
02/20/16-21,305,157,2
02/20/16-22,305,157,2
02/20/16-23,305,157,2
02/21/16-00,305,157,2
02/21/16-01,305,157,2
02/21/16-02,305,157,2
02/21/16-03,306,156,1
02/21/16-04,306,155,1
02/21/16-05,306,154,1
02/21/16-06,306,154,1
02/21/16-07,306,155,1
02/21/16-08,306,155,1
02/21/16-09,305,154,1
02/21/16-10,305,154,1
02/21/16-11,305,154,1
02/21/16-12,305,154,1
02/21/16-13,305,152,1
02/21/16-14,305,152,1
02/21/16-15,305,154,1
02/21/16-16,305,154,1
02/21/16-17,305,154,1
02/21/16-18,305,155,1
02/21/16-19,305,157,3
